disasterNumber,damagedCity,damagedStateAbbreviation,damagedZipCode,householdComposition,grossIncome,specialNeeds,ownRent,residenceType,homeOwnersInsurance,floodInsurance,inspected,rpfvl,habitabilityRepairsRequired,destroyed,waterLevel,highWaterLocation,floodDamage,foundationDamage,foundationDamageAmount,roofDamage,roofDamageAmount,tsaEligible,tsaCheckedIn,rentalAssistanceEligible,rentalAssistanceAmount,repairAssistanceEligible,repairAmount,replacementAssistanceEligible,replacementAmount,sbaEligible,renterDamageLevel,rentalAssistanceEndDate,rentalResourceCity,rentalResourceStateAbbreviation,rentalResourceZipCode,primaryResidence,personalPropertyEligible,ppfvl,censusBlockId,id,censusYear
4337,LUTZ,FL,33558.0,2,5000.0,0,Renter,Mobile Home,0,0,1,,0.0,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,121010316052001.0,e2924cc8-f3ca-448d-8bd3-4f389f7b1a5f,2010.0
4559,ALEXANDRIA,LA,71301.0,4,,0,Renter,House/Duplex,0,0,1,,1.0,0,24.0,,1,0,,0,,0,0,0,,0,,0,,0,Renter-Moderate Damage(Renter No Cost),,,,,1.0,0,5761.79,220790110001016.0,22701192-f12e-4292-94c0-aa883bd98623,2020.0
4586,HOUSTON,TX,77064.0,4,52000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,482015515022001.0,d58a4d8e-c9b2-455e-95c0-fa8261ea0f63,2020.0
4586,HOUSTON,TX,77039.0,4,,1,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,482012223001013.0,bce4d5e3-f2de-4ec8-b046-96caad8f8a2b,2020.0
4339,PONCE,PR,728.0,1,7416.0,0,Owner,House/Duplex,0,0,1,,0.0,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,0.0,721130730091010.0,bda3a4e6-b1c0-4413-a4c2-e2ac792684a7,2010.0
4337,MIAMI BEACH,FL,33139.0,1,58900.0,0,Owner,House/Duplex,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,0.0,0,,120860044034003.0,2446f948-6cbd-4a0e-be93-c7469f045826,2010.0
4586,ATHENS,TX,75751.0,5,,0,Owner,Mobile Home,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,482139512023029.0,271dc41c-cf32-4081-b585-8864c685870c,2020.0
4332,HOUSTON,TX,77091.0,1,8040.0,0,Owner,House/Duplex,0,0,1,690.68,0.0,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,482015308001029.0,4213f251-1327-498c-aa37-3403924db1c1,2010.0
4337,LAKELAND,FL,33809.0,3,5546100.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,121050122063007.0,c40f40a7-fe6f-4c23-956f-86b3297b442c,2010.0
4337,BONITA SPRINGS,FL,34134.0,1,,0,Renter,House/Duplex,0,0,1,,,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,120210101065003.0,27405311-7228-4d37-b710-9adf7b1cb2e6,2010.0
4337,VENICE,FL,34292.0,1,,1,Owner,Mobile Home,0,0,1,,0.0,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,0.0,121150027151040.0,33e5a741-ca7c-4725-8a97-9489beda473b,2010.0
4339,CAYEY,PR,736.0,4,50700.0,0,Owner,House/Duplex,1,0,1,931.72,1.0,0,0.0,,0,0,,0,,1,0,0,,0,,0,,1,,,,,,1.0,0,24.59,720352609021019.0,50140a9d-ea79-4f03-9f0f-86a72a840c16,2010.0
4559,FORT POLK,LA,71459.0,1,24000.0,0,Renter,Military Housing,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,221159507012008.0,643f09ab-99be-479b-9efe-81308ed9cc9a,2020.0
4337,ORLANDO,FL,32821.0,1,,0,Owner,House/Duplex,0,0,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,120950170042005.0,6590d39d-3cbd-490c-be7b-ed74dbfca798,2010.0
4586,SAN ANTONIO,TX,78233.0,1,,1,Renter,Condo,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,480291218041006.0,0546e14f-b24c-4713-9971-77de874ab546,2020.0
4399,BONIFAY,FL,32425.0,2,110000.0,0,Owner,House/Duplex,1,0,1,,,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,120599603001004.0,e1634e73-11bc-4281-82cd-c50677f76176,2010.0
4337,DUNNELLON,FL,34432.0,2,60000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,1,820.0,0,,0,,0,,,,,,1.0,0,,120830026041186.0,5bcfd1a9-f0e5-4ab4-87a4-e616271ebefe,2010.0
4337,PORT CHARLOTTE,FL,33954.0,4,,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,120150202022072.0,e5b1504b-7a9a-4228-9a57-10bf30ef55ef,2010.0
4337,NEWBERRY,FL,32669.0,4,38000.0,0,Renter,House/Duplex,0,0,1,,0.0,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,0.0,120010022101023.0,7f1a067b-e0a6-4b65-bc22-0e57c0aaa8c2,2010.0
4332,HUMBLE,TX,77346.0,2,24000.0,0,Renter,Apartment,0,0,1,,1.0,0,1.0,,1,0,,0,,0,0,1,1594.0,0,,0,,0,Renter-Moderate Damage(Renter No Cost),,,,,1.0,0,0.0,482012508002036.0,33c1e282-a449-4ef1-ab7a-2f1eb6927bf7,2010.0
4337,PORT CHARLOTTE,FL,33980.0,1,20000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120150209003065.0,8f65fcba-8044-4a73-9739-a44d9c1e5044,2010.0
4586,HOUSTON,TX,77075.0,2,,0,Owner,House/Duplex,1,0,1,3523.02,1.0,0,0.0,,0,0,,0,,0,0,1,2314.0,1,7208.65,0,,0,,,,,,1.0,0,0.0,482013338021010.0,d0b2a7f6-802f-4119-a1a4-14feaba2a0ac,2020.0
4339,PONCE,PR,716.0,2,138757.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,721130722026006.0,f6428a5f-65c2-4aa4-ba8b-d99fa4c480c8,2010.0
4611,PONCHATOULA,LA,70454.0,4,,0,Renter,Mobile Home,0,0,1,,1.0,0,20.0,,0,0,,0,,1,0,1,3107.0,0,,0,,0,Renter-Moderate Damage(Renter No Cost),,,,,1.0,0,569.48,221059545054007.0,b3afd224-5f13-4467-8593-94560b034f39,2020.0
4337,SAFETY HARBOR,FL,34695.0,5,20000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,1,0,1,1014.0,0,,0,,0,,,,,,1.0,0,,121030268165003.0,4431dfe9-9adf-4e81-8f19-6917c4ed0311,2010.0
4337,LAUDERHILL,FL,33313.0,4,37488.0,0,Renter,Apartment,0,0,0,,,0,,,0,0,,0,,1,0,1,1307.0,0,,0,,0,,,,,,1.0,0,,120110603041002.0,0a6c2697-5df1-405a-b92b-d86dfb0ca2c6,2010.0
4611,PORT SULPHUR,LA,70083.0,2,180000.0,0,Owner,House/Duplex,1,1,1,8129.52,1.0,0,0.0,,0,0,,0,,0,0,1,899.0,0,,0,,0,,,,,,1.0,0,0.0,220750504001076.0,00b9ccb4-d4ed-4332-8d46-1e1ba4ed0275,2020.0
4586,HURST,TX,76053.0,4,,0,Renter,Apartment,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,484391134044003.0,b84a83af-2143-4b3d-9d74-1b07b547cdbd,2020.0
4337,MIAMI,FL,33175.0,1,3500.0,0,Owner,House/Duplex,1,1,0,,,0,,,0,0,,0,,0,0,1,1295.0,0,,0,,0,,,,,,1.0,0,,120860155002002.0,5f366e36-587f-43e1-963f-4b81401f84f4,2010.0
4337,WINTER PARK,FL,32789.0,2,24000.0,0,Unknown,House/Duplex,0,0,1,,,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,0.0,120950180002078.0,ac87fa80-34ab-4620-be20-e3b81420e954,2010.0
4337,LAKE WALES,FL,33898.0,5,40000.0,0,Owner,Mobile Home,0,0,0,,,0,,,0,0,,0,,1,0,1,838.0,0,,0,,0,,,,,,1.0,0,,121050154021017.0,2f35903c-5f19-49f1-a9eb-1e8a6e25817b,2010.0
4393,DUDLEY,NC,28333.0,4,,0,Owner,Mobile Home,0,0,1,,0.0,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,371910006022010.0,7f013c5b-948d-42fe-a7ce-a65e998d8051,2010.0
4586,MISSOURI CITY,TX,77489.0,5,54000.0,0,Renter,House/Duplex,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,481576705001000.0,daaafbbf-8fba-4e0e-9caa-410b3096a1f9,2020.0
4337,NORTH MIAMI BEACH,FL,33162.0,3,12000.0,0,Renter,House/Duplex,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120860002042056.0,cf13b817-1722-4233-a1f0-f89ee44e2b7d,2010.0
4339,HUMACAO,PR,791.0,1,4080.0,0,Renter,House/Duplex,0,0,1,,1.0,0,0.0,,0,0,,0,,0,0,1,902.0,0,,0,,0,Renter-Major Damage(Renter No Cost),,,,,1.0,0,0.0,720691805003057.0,168d4ada-96da-48bf-97f2-74fc9d67f61c,2010.0
4337,WINTER HAVEN,FL,33880.0,1,10908.0,0,Renter,Apartment,0,0,1,,0.0,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,0.0,121050137012037.0,5a7f5540-cd0b-48c5-9639-3553041425e0,2010.0
4586,SEADRIFT,TX,77983.0,1,25000.0,1,Owner,Travel Trailer,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,480570005022043.0,01799d25-348c-4c44-96f4-56316fb854a3,2020.0
4339,RIO PIEDRAS,PR,926.0,1,39000.0,0,Owner,Other,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,0.0,0,,721270091123001.0,0607c0d9-8de2-4a8b-a641-679d267e428d,2010.0
4337,TAMPA,FL,33610.0,1,1500.0,0,Renter,House/Duplex,0,0,0,,,0,,,0,0,,0,,1,0,1,1014.0,0,,0,,0,,,,,,1.0,0,,120570120012057.0,06abf16e-b60e-460a-9157-bc6bf0a35593,2010.0
4337,ORLANDO,FL,32819.0,4,38000.0,0,Renter,House/Duplex,0,0,1,,0.0,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,120950170012016.0,f1dbc977-0428-4a61-88ad-49c45d6cd949,2010.0
4337,DELTONA,FL,32738.0,4,71700.0,0,Renter,House/Duplex,0,0,0,,,0,,,0,0,,0,,1,0,1,959.0,0,,0,,0,,,,,,1.0,0,,121270910242052.0,19c7d275-e73f-4220-9142-b47b8e66e3ba,2010.0
4332,ALVIN,TX,77511.0,3,,0,Owner,Mobile Home,0,0,1,150.34,1.0,0,0.0,,0,0,,0,,1,0,0,,1,150.34,0,,0,,,,,,1.0,0,0.0,481677235021007.0,bd5d257c-2d97-4954-b94c-6caf41516604,2010.0
4337,PALM CITY,FL,34990.0,5,90000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120850006102018.0,b8fbe118-cf5e-41be-adb7-079f9584c385,2010.0
4337,TAMPA,FL,33612.0,1,,0,Renter,Apartment,0,0,1,,,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,120570002023003.0,e330994f-4cf1-4464-841e-99deabe3813d,2010.0
4337,FOREST CITY,FL,32703.0,3,85000.0,0,Renter,House/Duplex,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,121170217084001.0,74cceb1a-1f51-4507-82d8-5a433ba78cc3,2010.0
4611,BATON ROUGE,LA,70809.0,2,33800.0,0,Renter,Apartment,0,0,0,,,0,,,0,0,,0,,0,0,1,1013.0,0,,0,,0,,,,,,1.0,0,,220330038081002.0,7e9836e3-3482-4a0b-8bf3-759beb800096,2020.0
4586,JEFFERSON,TX,75657.0,2,65000.0,0,Owner,House/Duplex,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,483159501001021.0,ec9fbe18-9be3-40a5-89bc-a82293e8151e,2020.0
4337,INVERNESS,FL,34452.0,1,,0,Renter,House/Duplex,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120174511022015.0,ce4a89f5-e586-4fb3-974b-2ab56968fae4,2010.0
4332,PORT ARANSAS,TX,78373.0,1,20280.0,0,Renter,Apartment,0,0,1,,1.0,0,49.0,,1,0,,0,,0,0,1,1580.0,0,,0,,0,Renter-Moderate Damage(Renter No Cost),,,,,1.0,1,3973.61,483550051022011.0,83d770f0-b624-4013-93e1-7ad47f0f8eef,2010.0
4332,ROSHARON,TX,77583.0,5,170000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,480396606021116.0,66d66a45-1cd0-4aa6-80bd-dcf34bcf111c,2010.0
4611,PONCHATOULA,LA,70454.0,4,100000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,221059546021014.0,d7b354aa-b808-4f4c-aeb9-017905caa539,2020.0
4337,HOMESTEAD,FL,33032.0,3,,0,Renter,Apartment,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120860104002120.0,a01b1bd1-dfee-4464-8166-5db13ae3b44b,2010.0
4611,DENHAM SPRINGS,LA,70726.0,4,60000.0,0,Owner,Other,0,0,1,,,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,220630408052007.0,530870b8-0206-4fd8-bcfa-6a831b5fff5d,2020.0
4559,LAKE CHARLES,LA,70607.0,2,55000.0,0,Renter,House/Duplex,0,0,1,,1.0,0,0.0,,0,0,,0,,0,0,1,1326.0,0,,0,,0,Renter-Moderate Damage(Renter No Cost),,,,,1.0,0,399.76,220190012013013.0,4e67d2ac-2529-406c-8471-b214e78ecc7d,2020.0
4611,NEW ORLEANS,LA,70118.0,3,44000.0,0,Owner,House/Duplex,1,0,1,,0.0,0,0.0,,0,0,,0,,1,1,0,,0,,0,,0,,,,,,1.0,0,835.88,220710125002015.0,058d5a34-278c-4bf2-94dd-156d804dd984,2020.0
4339,JUANA DIAZ,PR,795.0,3,11000.0,0,Owner,Other,0,0,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,720757102001001.0,b06e2e71-7d7a-4b76-bffc-8e823d40db3e,2010.0
4339,SAN JUAN,PR,920.0,4,20640.0,0,Owner,House/Duplex,0,1,1,,0.0,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,0.0,721270075001005.0,e2472ec0-2219-4739-94e6-8d22ef37378f,2010.0
4337,LAUDERHILL,FL,33311.0,2,16680.0,0,Owner,House/Duplex,1,0,1,,0.0,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,120110413004025.0,0efe67d2-5edf-43a1-9b77-4b4afa250f1e,2010.0
4339,COMERIO,PR,782.0,3,15000.0,0,Renter,House/Duplex,0,0,1,,0.0,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,1,449.99,720459520002003.0,d88d0e05-754f-4d9d-abe2-0b48a586384f,2010.0
4337,NORTH MIAMI BEACH,FL,33162.0,1,30000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,120860002025022.0,4e66a0b4-4d4a-4719-9ab8-eaced18dc96f,2010.0
4337,KISSIMMEE,FL,34743.0,1,16000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120970426021035.0,b12579ef-83aa-46f8-bd87-5c0a44cb1afd,2010.0
4337,PUNTA GORDA,FL,33955.0,1,6800.0,0,Renter,House/Duplex,0,0,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,120150105024146.0,185447dc-d952-449c-9983-58b411e06c2b,2010.0
4586,DALLAS,TX,75241.0,1,16000.0,0,Owner,House/Duplex,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,481130167102009.0,37d54a86-e816-4ed6-bab4-81f13105dc0c,2020.0
4611,METAIRIE,LA,70001.0,1,10000.0,0,Renter,Apartment,0,0,1,,0.0,0,0.0,,0,0,,0,,0,0,1,1061.0,0,,0,,0,,,,,,1.0,0,0.0,220510288002000.0,2d5de8a3-984f-4ec8-8581-2c0b778919a3,2020.0
4337,NORTH MIAMI BEACH,FL,33162.0,1,,0,Renter,House/Duplex,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120860002041071.0,03025eab-2805-43ab-91e9-acb210478b2a,2010.0
4332,KATY,TX,77494.0,4,38600.0,0,Renter,Apartment,0,0,1,,,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,0.0,481576731011066.0,7296924e-b17f-4fed-a0eb-e775ed3a6026,2010.0
4559,LAKE CHARLES,LA,70601.0,1,8000.0,0,Renter,House/Duplex,0,0,1,,,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,220190006023014.0,2227f972-d2ef-4c91-bbf2-8f60e94b1fb6,2020.0
4332,KATY,TX,77450.0,4,,0,Renter,Apartment,0,0,1,,0.0,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,482014546001034.0,9a8887d9-3bf1-4cda-8451-4fd8eed4ecb3,2010.0
4559,SULPHUR,LA,70665.0,2,45000.0,0,Owner,House/Duplex,1,0,1,3952.85,1.0,0,0.0,,0,0,,0,,0,0,0,,1,158.42,0,,0,,,,,,1.0,0,0.0,220190034003012.0,25160bb4-52f7-407d-9de6-c0beaea17c08,2020.0
4337,MIAMI,FL,33165.0,1,32000.0,0,Owner,House/Duplex,1,1,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120860087023006.0,7c2940bb-2af2-429b-a1ed-9e3055ea71a5,2010.0
4339,LAS PIEDRAS,PR,771.0,1,8700.0,0,Owner,Townhouse,0,0,1,,,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,0.0,,f48d1fe3-a475-4246-9140-4c83c0ec549b,
4337,MIAMI,FL,33176.0,2,25355.0,0,Renter,Other,0,0,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,120860084173003.0,dd0e657a-29a8-4da0-8afa-914edf18fa53,2010.0
4337,SARASOTA,FL,34234.0,2,31000.0,0,Owner,Mobile Home,0,0,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,121150011014005.0,bbbfcc9c-770a-4c23-9dbc-2fbf72cbebf5,2010.0
4611,ABITA SPRINGS,LA,70420.0,3,80000.0,0,Owner,Townhouse,1,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,221030401052053.0,32172036-c64a-42cb-a87e-f5c32a12feea,2020.0
4586,FLOWER MOUND,TX,75022.0,2,38650.0,0,Owner,House/Duplex,1,0,1,1042.4,1.0,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,0.0,481210217572000.0,6d4cc1a3-c437-41f6-ab14-2d4b5a49d5f4,2020.0
4339,CAGUAS,PR,725.0,3,47148.0,0,Owner,House/Duplex,0,0,1,,,0,0.0,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,0.0,720252001004032.0,c0303956-257d-48a8-bb20-72c528ca0f1c,2010.0
4337,HIALEAH,FL,33014.0,1,75000.0,0,Owner,House/Duplex,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120860093081008.0,6f28ddc2-07c1-428f-8018-9270d33ea9e7,2010.0
4337,HIALEAH,FL,33012.0,1,45000.0,0,Owner,Townhouse,0,1,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,0.0,0,,120860006023008.0,9cf0c66a-b348-4674-bfe8-36f2d2a2996f,2010.0
4611,NEW ORLEANS,LA,70122.0,5,,0,Renter,Apartment,0,0,1,,0.0,0,0.0,,0,0,,0,,1,1,1,1061.0,0,,0,,0,,,,,,1.0,0,0.0,220710138002013.0,c5934541-e716-4a7e-834c-13a866ec3e84,2020.0
4337,PEMBROKE PINES,FL,33026.0,2,60000.0,0,Renter,Townhouse,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120111103381008.0,a66d9922-6197-4dd7-be1d-88e6d3f7c9af,2010.0
4337,TAMPA,FL,33614.0,1,60000.0,0,Renter,Apartment,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120570026001026.0,16cfd05f-9e40-43e3-ae2d-dcc1dfc03fec,2010.0
4586,CROSBY,TX,77532.0,3,18800.0,0,Renter,House/Duplex,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,482012528002074.0,14742395-c016-40c1-b8fd-d5bc24c13504,2020.0
4332,PORT ARANSAS,TX,78373.0,1,31000.0,0,Renter,Condo,0,0,1,,1.0,0,0.0,,0,0,,0,,1,0,1,1580.0,0,,0,,0,Renter-Moderate Damage(Renter No Cost),,,,,1.0,0,673.36,483550062001088.0,0ff3f2af-0e97-4049-ae40-64ec0497a424,2010.0
4611,MANDEVILLE,LA,70448.0,4,167459.0,0,Owner,House/Duplex,1,1,1,0.0,0.0,0,0.0,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,300.0,221030412121005.0,090a0d62-c9a6-4d8e-a8c7-0acf30fd344f,2020.0
4337,HIALEAH GARDENS,FL,33016.0,1,15614.0,0,Owner,Condo,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,,0,,0,,,,,,1.0,0,,120860137002006.0,9f4e563c-0201-4337-9595-bdc7882d2651,2010.0
4337,TIERRA VERDE,FL,33715.0,1,30000.0,0,Owner,House/Duplex,1,1,0,,,0,,,0,0,,0,,1,0,0,,0,,0,,0,,,,,,1.0,0,,121030201062005.0,4376a9ce-9689-4842-a89b-5f9089b7bcdd,2010.0
